FECHA	Tiemp	Hofondo	huofimedio	Hoentrada	Hoexte	Texte	Taofifondo	Taofientrada	Taofimedio	UE03,OFICINA,MODO,FUNC,,,Lectura,	UE03,OFICINA,ESTADO,ON,OFF	CO2ofifondo	CO2ofimedio	CO2ofientrada	ANALIZADOR,UE03,OFICINA,Energ√,a,Activa,,KWh,	Raexterior	UE03,OFICINA,TEMP,,CONSIGNA,,Lectura,	UE03,OFICINA,MODO,FUNC,,,Lectura,,1	X
02/01/2015	9:00	43,37916667	47,67916667	44,055	86,33666667	3,4425	17,95166667	19,18916667	17,47916667	1	1	599,1691667	646,315	447,3591667	5,534179688	73,575	25	1	NA
02/01/2015	10:00	41,115	47,05583333	43,22333333	85,80916667	5,334166667	19,34583333	20,11833333	18,33416667	1	1	755,8425	755,8066667	536,4475	5,682128906	183,88	25	1	NA
02/01/2015	11:00	40,01166667	46,99583333	42,67083333	79,4025	8,936666667	20,39333333	20,9725	19,1175	1	1	812,0183333	839,465	627,8775	5,703613281	313,9458333	25	1	NA
02/01/2015	12:00	39,63833333	47,39666667	42,3675	69,77833333	13,40416667	21,44916667	22,02166667	19,98583333	1	1	908,2883333	942,6833333	725,875	5,345214844	502,0433333	25	1	NA
02/01/2015	13:00	39,1925	47,43416667	42,04583333	63,5225	16,0775	22,58	23,43833333	21,02666667	1	1	771,6916667	888,475	752,9683333	4,385253906	432,5216667	25	1	NA
02/01/2015	14:00	39,31583333	47,54833333	41,7675	63,02083333	16,79083333	23,035	24,01583333	21,41916667	1	1	616,4133333	704,9091667	598,1833333	3,98828125	406,8758333	25	1	NA
02/01/2015	15:00	39,07333333	47,75916667	41,8925	62,10333333	17,55583333	23,635	24,605	21,86	1	1	568,8358333	645,2966667	534,5016667	3,7265625	388,3508333	25	1	NA
02/01/2015	16:00	39,10166667	48,01583333	42,08916667	64,72333333	17,16916667	24,34166667	25,3125	22,51916667	1	1	645,5241667	735,8291667	646,155	3,70703125	272,07	25	1	NA
02/01/2015	17:00	39,61166667	48,355	42,63083333	77,675	14,21583333	24,64583333	25,24333333	22,75083333	1	1	669,3725	753,7308333	662,9	3,94921875	86,265	25	1	NA
02/01/2015	18:00	40,37333333	48,56583333	43,32166667	89,70833333	11,35583333	24,44833333	24,81	22,54833333	1	1	647,2191667	707,1558333	599,6708333	4,168457031	71,33333333	25	1	NA
